Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACI,Albertsons Companies Inc. Class A Common Stock,$17.22,-0.44,-2.492%,9459075667.00,United States,2020,12660808,Consumer Staples,Food Chains
ACM,AECOM Common Stock,$102.43,-2.73,-2.596%,13503688197.00,United States,2007,1375684,Consumer Discretionary,Military/Government/Technical
ACN,Accenture plc Class A Ordinary Shares (Ireland),$266.59,-2.75,-1.021%,175462006299.00,Ireland,2001,3785334,Real Estate,Real Estate
ACP,abrdn Income Credit Strategies Fund Common Shares,$5.42,-0.02,-0.368%,0.00,United States,2011,634974,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,$20.69,0.04,0.194%,,United States,,4972,,
ACR,ACRES Commercial Realty Corp. Common Stock,$23.52,0.55,2.394%,171359194.00,United States,,83972,Real Estate,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,$25.2144,-0.0056,-0.022%,,United States,,3452,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,$22.17,-0.025,-0.113%,,United States,,540,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,$5.10,-0.05,-0.971%,280634910.00,United States,2012,462573,Real Estate,Real Estate Investment Trusts
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,$26.24,-0.01,-0.038%,271923913.00,United States,2015,22780,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,$8.15,0.26,3.295%,1403195484.00,United States,2025,3299636,Real Estate,Real Estate
AD,Array Digital Infrastructure Inc. Common Shares,$50.14,0.33,0.663%,4332096000.00,United States,1988,173858,Telecommunications,Telecommunications Equipment
ADC,Agree Realty Corporation Common Stock,$73.90,-0.48,-0.645%,8493651421.00,United States,,793257,Real Estate,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,$17.51,-0.17,-0.962%,,United States,,26256,,
ADCT,ADC Therapeutics SA Common Shares,$3.29,-0.25,-7.062%,407555695.00,Switzerland,2020,1844080,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,$59.01,-0.35,-0.59%,28358420062.00,United States,,1925462,Consumer Staples,Packaged Foods
ADNT,Adient plc Ordinary Shares ,$18.52,-0.45,-2.372%,1465885724.00,United States,2016,968000,Consumer Discretionary,Auto Parts:O.E.M.
ADT,ADT Inc. Common Stock,$8.18,0.07,0.863%,6705659180.00,United States,2018,6429354,Consumer Discretionary,Diversified Commercial Services
ADX,Adams Diversified Equity Fund Inc.,$23.25,0.18,0.78%,0.00,United States,,231928,Finance,Investment Managers
AEE,Ameren Corporation Common Stock,$99.86,-0.99,-0.982%,27011622312.00,United States,,2221749,Utilities,Power Generation
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,$19.65,-0.07,-0.355%,0.00,United States,2019,35158,,
AEG,Aegon Ltd. New York Registry Shares,$7.83,0.00,0.00%,15708430367.00,Netherlands,,3549307,Finance,Life Insurance
AEM,Agnico Eagle Mines Limited Common Stock,$168.83,-2.60,-1.517%,84873275529.00,Canada,,2475815,Basic Materials,Precious Metals
AEO,American Eagle Outfitters Inc. Common Stock,$23.09,-1.09,-4.508%,3910033862.00,United States,,13478794,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AER,AerCap Holdings N.V. Ordinary Shares,$139.99,0.07,0.05%,26147783668.00,Netherlands,2006,1691473,Consumer Discretionary,Diversified Commercial Services
AERO,Grupo Aeromexico S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares),$18.28,-0.90,-4.692%,2667114317.00,,2025,152852,Consumer Discretionary,Air Freight/Delivery Services
AES,The AES Corporation Common Stock,$13.92,-0.01,-0.072%,9912723540.00,United States,,5813906,Utilities,Electric Utilities: Central
AESI,Atlas Energy Solutions Inc. Common Stock,$9.95,-0.10,-0.995%,1233622592.00,United States,2023,2999030,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,$10.95,-0.18,-1.617%,0.00,,2025,122872,,
AFB,AllianceBernstein National Municipal Income Fund Inc,$10.84,-0.03,-0.276%,0.00,United States,2002,65332,Finance,Trusts Except Educational Religious and Charitable
AFG,American Financial Group Inc. Common Stock,$132.57,-0.77,-0.577%,11056811540.00,United States,,391299,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,$21.85,0.02,0.092%,1822368048.00,United States,2019,10011,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,$18.89,-0.09,-0.474%,1575493475.00,United States,2019,11293,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,$21.032,-0.138,-0.652%,1754143926.00,United States,2020,9211,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,$16.83,-0.07,-0.414%,1403682117.00,United States,2020,7210,Finance,Property-Casualty Insurers
AFL,AFLAC Incorporated Common Stock,$109.28,0.04,0.037%,57275168850.00,United States,,2061543,Finance,Accident &Health Insurance
AG,First Majestic Silver Corp. Ordinary Shares (Canada),$15.06,0.04,0.266%,7397906300.00,Canada,,18096482,Basic Materials,Precious Metals
AGCO,AGCO Corporation Common Stock,$105.26,-0.53,-0.501%,7854876557.00,United States,,614318,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,$11.22,-0.29,-2.52%,0.00,United States,2006,191778,Finance,Trusts Except Educational Religious and Charitable
AGI,Alamos Gold Inc. Class A Common Shares,$36.08,-0.01,-0.028%,15178233692.00,Canada,2015,1689613,Basic Materials,Precious Metals
AGL,agilon health inc. Common Stock,$0.6522,-0.0758,-10.412%,270390122.00,United States,2021,7192888,Health Care,Misc Health and Biotechnology Services
AGM,Federal Agricultural Mortgage Corporation Common Stock,$175.80,-0.09,-0.051%,1917050303.00,United States,,63735,Finance,Finance Companies
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,$21.24,-0.045,-0.211%,,United States,,9820,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,$21.58,-0.04,-0.185%,,United States,,3125,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,$19.3662,0.0062,0.032%,,United States,,11367,,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,$18.10,0.01,0.055%,,United States,,9404,,
AGM^H,Federal Agricultural Mortgage Corporation 6.500% Non-Cumulative Preferred Stock Series H,$24.85,0.17,0.689%,,United States,,8604,,
AGO,Assured Guaranty Ltd. Common Stock,$88.63,-0.14,-0.158%,4086649090.00,Bermuda,2004,197942,Finance,Property-Casualty Insurers
AGRO,Adecoagro S.A. Common Shares,$8.24,-0.19,-2.254%,824712266.00,Luxembourg,2011,606613,Consumer Staples,Farming/Seeds/Milling
AGX,Argan Inc. Common Stock,$313.70,-42.69,-11.978%,4332691078.00,United States,,1340618,Consumer Discretionary,Engineering & Construction
AHH,Armada Hoffler Properties Inc. Common Stock,$6.46,-0.03,-0.462%,517790912.00,United States,2013,513051,Finance,Real Estate
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,$20.80,-0.02,-0.096%,,United States,,7832,,
AHL,Aspen Insurance Holdings Limited Class A Ordinary Shares,$37.00,0.00,0.00%,3398134834.00,Bermuda,2025,72687,Finance,Property-Casualty Insurers
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,$20.10,-0.09,-0.446%,,Bermuda,,10080,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,$20.34,-0.09,-0.441%,,Bermuda,,5486,,
AHL^F,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th Interest in a 7.00% Perpetual Non-Cumulative Preference Share,$25.17,0.14,0.559%,,Bermuda,,6106,,
AHR,American Healthcare REIT Inc. Common Stock,$50.11,0.14,0.28%,9434148666.00,United States,2024,1330272,Real Estate,Real Estate Investment Trusts
AHT,Ashford Hospitality Trust Inc Common Stock,$3.15,-0.10,-3.077%,20196326.00,United States,2003,17056,Real Estate,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,$19.455,0.075,0.387%,,United States,,916,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,$12.98,-0.04,-0.307%,,United States,,2088,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,$14.9499,-0.0413,-0.275%,,United States,,806,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,$13.264,-0.1453,-1.084%,,United States,,1154,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,$13.1825,0.1325,1.015%,,United States,,4789,,
AI,C3.ai Inc. Class A Common Stock,$15.08,-0.24,-1.567%,2078773416.00,United States,2020,6718436,Technology,Computer Software: Prepackaged Software
AIG,American International Group Inc. New Common Stock,$77.03,-0.25,-0.323%,41563543440.00,United States,,4223035,Finance,Life Insurance
AII,American Integrity Insurance Group Inc. Common Stock,$19.79,-0.83,-4.025%,387424951.00,United States,2025,246144,Finance,Property-Casualty Insurers
AIIA,AI Infrastructure Acquisition Corp. Class A Ordinary Shares,$9.92,0.00,0.00%,0.00,,2025,191531,Finance,Blank Checks
AIN,Albany International Corporation Common Stock,$49.61,0.98,2.015%,1423807000.00,United States,,462231,Consumer Discretionary,Textiles
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,$23.45,0.10,0.428%,805295793.00,,2019,56855,Finance,Finance/Investors Services
AIR,AAR Corp. Common Stock,$82.70,-1.09,-1.301%,2986503006.00,United States,,296281,Industrials,Aerospace
AIT,Applied Industrial Technologies Inc. Common Stock,$257.91,-0.92,-0.355%,9727826168.00,United States,,221836,Consumer Discretionary,Industrial Specialties
AIV,Apartment Investment and Management Company Common Stock,$5.57,-0.01,-0.179%,802500758.00,United States,1994,984062,Real Estate,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,$222.87,-1.40,-0.624%,11161576986.00,United States,2004,264340,Finance,Property-Casualty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,$19.60,-0.05,-0.254%,989000536.00,United States,2020,38351,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,$239.71,-5.70,-2.323%,61557528000.00,United States,,1771932,Finance,Specialty Insurers
AKA,a.k.a. Brands Holding Corp. Common Stock,$10.613,-0.437,-3.955%,113980181.00,,2021,3782,Consumer Discretionary,Catalog/Specialty Distribution
AKO/A,Embotelladora Andina S.A.,$23.00,0.54,2.404%,,Chile,,693,,
AKO/B,Embotelladora Andina S.A.,$27.22,-0.047,-0.172%,,Chile,,5709,,
AKR,Acadia Realty Trust Common Stock,$19.68,-0.06,-0.304%,2578761400.00,United States,,1075672,Real Estate,Real Estate Investment Trusts
AL,Air Lease Corporation Class A Common Stock,$63.93,-0.02,-0.031%,7145138496.00,United States,2011,1513083,Consumer Discretionary,Diversified Commercial Services
ALB,Albemarle Corporation Common Stock,$125.19,6.05,5.078%,14734555033.00,United States,,5262776,Industrials,Major Chemicals
ALB^A,Albemarle Corporation Depositary Shares each representing a 1/20th of 7.25% Series A Mandatory Convertible Preferred Stock,$52.99,2.18,4.29%,,United States,,2206671,,
ALC,Alcon Inc. Ordinary Shares,$80.73,1.74,2.203%,39930375837.00,Switzerland,2019,1790185,Health Care,Ophthalmic Goods
ALE,Allete Inc.,$67.61,0.01,0.015%,3928032756.00,United States,,551575,Utilities,Power Generation
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,$15.22,-0.09,-0.588%,1107383761.00,United States,,467399,Real Estate,Real Estate Investment Trusts
ALG,Alamo Group Inc. Common Stock,$164.86,-1.82,-1.092%,1997349460.00,United States,,75895,Industrials,Industrial Machinery/Components
ALH,Alliance Laundry Holdings Inc. Common Stock,$22.17,-0.42,-1.859%,4376362456.00,,2025,1205941,Industrials,Industrial Machinery/Components
ALIT,Alight Inc. Class A Common Stock,$2.04,-0.12,-5.556%,1087727058.00,United States,2021,19552074,Real Estate,Real Estate
ALK,Alaska Air Group Inc. Common Stock,$49.65,2.33,4.924%,5758834635.00,United States,,5738375,Consumer Discretionary,Air Freight/Delivery Services
ALL,Allstate Corporation (The) Common Stock,$202.27,-4.10,-1.987%,52930359077.00,United States,,1575356,Finance,Property-Casualty Insurers
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,$26.18,0.02,0.076%,,United States,,12826,,
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,$21.27,0.03,0.141%,,United States,,122391,,
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,$19.515,-0.025,-0.128%,,United States,,49211,,
ALL^J,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series J,$26.63,0.01,0.038%,,United States,,29104,,
ALLE,Allegion plc Ordinary Shares,$159.08,-1.77,-1.10%,13685963083.00,United States,2013,1160511,Consumer Discretionary,Diversified Commercial Services
ALLY,Ally Financial Inc. Common Stock,$42.39,-0.03,-0.071%,13058374936.00,United States,2014,2594555,Finance,Major Banks
ALSN,Allison Transmission Holdings Inc. Common Stock,$92.54,2.09,2.311%,7701985379.00,United States,2012,1267874,Consumer Discretionary,Auto Parts:O.E.M.
ALTG,Alta Equipment Group Inc. Class A Common Stock,$4.91,-0.03,-0.607%,158275240.00,United States,2019,146743,Industrials,Industrial Machinery/Components
ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),$25.1722,0.1122,0.448%,,United States,,960,,
ALUR,Allurion Technologies Inc. Common Stock,$1.70,-0.01,-0.585%,15746396.00,United States,,52882,Health Care,Medical/Dental Instruments
ALV,Autoliv Inc. Common Stock,$117.44,-0.84,-0.71%,8921370469.00,Sweden,,457728,Consumer Discretionary,Auto Parts:O.E.M.
ALX,Alexander's Inc. Common Stock,$211.82,-4.37,-2.021%,1081826168.00,United States,,33667,Real Estate,Real Estate Investment Trusts
AM,Antero Midstream Corporation Common Stock,$18.47,0.25,1.372%,8796799250.00,United States,2017,2194550,Utilities,Natural Gas Distribution
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,$3.91,0.03,0.773%,2337005381.00,,,892479,Industrials,Containers/Packaging
AMBQ,Ambiq Micro Inc. Common Stock,$29.00,1.01,3.608%,531082394.00,,2025,78745,Technology,Semiconductors
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,$2.27,-0.06,-2.575%,1164381883.00,United States,2013,15143553,Consumer Discretionary,Movies/Entertainment
AMCR,Amcor plc Ordinary Shares,$8.30,-0.02,-0.24%,19159387510.00,United Kingdom,2019,16900274,Consumer Discretionary,Miscellaneous manufacturing industries
AME,AMETEK Inc.,$199.80,0.58,0.291%,45994733825.00,United States,,1562344,Industrials,Industrial Machinery/Components
AMG,Affiliated Managers Group Inc. Common Stock,$273.19,1.50,0.552%,7684536377.00,United States,,155305,Finance,Investment Managers
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,$30.83,-0.08,-0.259%,11441194774.00,United States,2013,2912506,Real Estate,Real Estate Investment Trusts
AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,$22.80,-0.3545,-1.531%,,United States,,7281,,
AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,$23.9901,-0.0099,-0.041%,,United States,,7857,,
AMN,AMN Healthcare Services Inc,$16.26,-0.31,-1.871%,624608063.00,United States,,782539,Consumer Discretionary,Professional Services
AMP,Ameriprise Financial Inc. Common Stock,$477.06,2.95,0.622%,44321599444.00,United States,,451184,Finance,Investment Managers
AMPX,Amprius Technologies Inc. Common Stock,$12.18,-0.04,-0.327%,1589293147.00,United States,2022,4582579,Miscellaneous,Industrial Machinery/Components
AMPY,Amplify Energy Corp. Common Stock,$5.56,-0.11,-1.94%,225046543.00,United States,2016,665160,Energy,Oil & Gas Production
AMR,Alpha Metallurgical Resources Inc. Common Stock,$179.06,-5.45,-2.954%,2302357777.00,United States,2018,242685,Energy,Coal Mining
AMRC,Ameresco Inc. Class A Common Stock,$33.25,-0.81,-2.378%,1755515412.00,United States,2010,558998,Consumer Discretionary,Engineering & Construction
AMRZ,Amrize Ltd Ordinary Shares,$54.74,2.00,3.792%,30275712457.00,,2025,6432016,Industrials,Building Materials
AMT,American Tower Corporation (REIT) Common Stock,$178.86,0.03,0.017%,83732704990.00,United States,,2998035,Real Estate,Real Estate Investment Trusts
AMTB,Amerant Bancorp Inc. Class A Common Stock,$19.28,-0.07,-0.362%,795600826.00,United States,,168364,Finance,Major Banks
AMTD,AMTD IDEA Group American Depositary Shares each representing six (6) Class A Ordinary Shares,$1.01,0.00,0.00%,93771134.00,,,45936,Finance,Finance: Consumer Services
AMTM,Amentum Holdings Inc. Common Stock,$28.88,-0.37,-1.265%,7035110009.00,United States,2024,2885927,Real Estate,Real Estate
AMWL,American Well Corporation Class A Common Stock,$4.01,-0.11,-2.67%,65648696.00,United States,2020,71811,Real Estate,Real Estate
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares,$21.52,-0.28,-1.284%,65356240000.00,Mexico,2023,1833259,Telecommunications,Telecommunications Equipment
AN,AutoNation Inc. Common Stock,$215.92,0.79,0.367%,7875072458.00,United States,,224859,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ANET,Arista Networks Inc. Common Stock,$128.59,0.04,0.031%,161931467151.00,United States,,5165156,Telecommunications,Computer Communications Equipment
ANF,Abercrombie & Fitch Company Common Stock,$94.87,-0.79,-0.826%,4465513634.00,United States,,1910349,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ANG^D,American National Group Inc. Depositary Shares each representing a 1/1000th interest in a share of 7.375% Fixed-Rate Non-Cumulative Preferred Stock Series D,$25.37,-0.05,-0.197%,,United States,,5358,,
ANGX,Angel Studios Inc. Class A Common Stock,$5.00,-0.14,-2.724%,843165350.00,,2025,815174,Consumer Discretionary,Movies/Entertainment
ANRO,Alto Neuroscience Inc. Common Stock,$13.43,0.05,0.374%,417220879.00,United States,2024,206628,Health Care,Biotechnology: Pharmaceutical Preparations
ANVS,Annovis Bio Inc. Common Stock,$4.55,-0.10,-2.151%,120588145.00,United States,2020,603680,Health Care,Biotechnology: Pharmaceutical Preparations
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,$9.68,0.00,0.00%,0.00,United States,2007,391357,Finance,Investment Managers
AOMD,Angel Oak Mortgage REIT Inc. 9.750% Senior Notes due 2030,$25.11,0.00,0.00%,0.00,United States,2025,2580,Finance,Real Estate
AOMN,Angel Oak Mortgage REIT Inc. 9.500% Senior Notes due 2029,$25.22,0.00,0.00%,0.00,United States,2024,3155,Finance,Real Estate
AOMR,Angel Oak Mortgage REIT Inc. Common Stock,$8.84,0.05,0.569%,220240069.00,United States,2021,120109,Finance,Real Estate
AON,Aon plc Class A Ordinary Shares (Ireland),$345.20,-2.51,-0.722%,74195653478.00,United States,,1188957,Finance,Specialty Insurers
AORT,Artivion Inc. Common Stock,$44.59,-0.82,-1.806%,2112448530.00,United States,,258046,Health Care,Medical/Dental Instruments
AOS,A.O. Smith Corporation Common Stock,$68.03,0.83,1.235%,9472348759.00,United States,,1931235,Consumer Discretionary,Consumer Electronics/Appliances
AP,Ampco-Pittsburgh Corporation Common Stock,$2.89,-0.07,-2.365%,58743264.00,United States,,96135,Industrials,Fluid Controls
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,$42.64,0.23,0.542%,3440927542.00,United States,2013,486110,Finance,Investment Managers
APD,Air Products and Chemicals Inc. Common Stock,$260.69,-0.93,-0.355%,58027049926.00,United States,,1315543,Basic Materials,Major Chemicals
APG,APi Group Corporation Common Stock,$39.06,0.06,0.154%,16245285079.00,United States,2020,1315095,Consumer Discretionary,Engineering & Construction
APH,Amphenol Corporation Common Stock,$139.36,-0.10,-0.072%,170584375595.00,United States,,7435916,Technology,Electrical Products
APLE,Apple Hospitality REIT Inc. Common Shares,$11.64,0.07,0.605%,2753741055.00,United States,2015,1925944,Real Estate,Real Estate Investment Trusts
APO,Apollo Global Management Inc. (New) Common Stock,$138.13,1.38,1.009%,80173770008.00,United States,,1975935,Finance,Investment Managers
APO^A,Apollo Global Management Inc. 6.75% Series A Mandatory Convertible Preferred Stock,$72.39,0.72,1.005%,,United States,,44867,,
APOS,Apollo Global Management Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053,$26.07,-0.01,-0.038%,14847758445.00,United States,1987,20902,Finance,Investment Managers
APTV,Aptiv PLC Ordinary Shares,$76.37,-0.07,-0.092%,16501984618.00,United Kingdom,,1809042,Consumer Discretionary,Auto Parts:O.E.M.
AQN,Algonquin Power & Utilities Corp. Common Shares,$5.86,0.01,0.171%,4501921841.00,United States,2016,3652421,Utilities,Electric Utilities: Central
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,$25.79,0.015,0.058%,19807364776.00,United States,2019,10059,Utilities,Electric Utilities: Central
AR,Antero Resources Corporation Common Stock,$36.75,0.15,0.41%,11337154500.00,United States,2013,5213684,Energy,Oil & Gas Production
ARCO,Arcos Dorados Holdings Inc. Class A Shares,$7.41,-0.22,-2.883%,1561013252.00,Argentina,2011,1239185,Consumer Discretionary,Restaurants
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,$13.44,0.00,0.00%,307976780.00,United States,2012,138330,Finance,Investment Managers
ARDT,Ardent Health Inc. Common Stock,$8.79,-0.08,-0.902%,1258619716.00,United States,2024,544954,Health Care,Hospital/Nursing Management
ARE,Alexandria Real Estate Equities Inc. Common Stock,$45.48,-1.11,-2.382%,7860083683.00,United States,,5031130,Real Estate,Real Estate Investment Trusts
ARES,Ares Management Corporation Class A Common Stock,$165.46,2.39,1.466%,54083763602.00,United States,2014,1348314,Finance,Investment Managers
ARES^B,Ares Management Corporation 6.75% Series B Mandatory Convertible Preferred Stock,$51.86,0.71,1.388%,,United States,,124037,,
ARI,Apollo Commercial Real Estate Finance Inc,$10.15,0.18,1.805%,1410279885.00,United States,2009,664655,Real Estate,Real Estate Investment Trusts
ARL,American Realty Investors Inc. Common Stock,$15.33,-0.20,-1.288%,247610819.00,United States,,574,Real Estate,Other Consumer Services
ARLO,Arlo Technologies Inc. Common Stock,$14.51,0.12,0.834%,1537947809.00,United States,2018,761725,Consumer Staples,Consumer Electronics/Appliances
ARMK,Aramark Common Stock,$37.95,0.37,0.985%,9978349133.00,United States,2013,1784351,Consumer Discretionary,Restaurants
AROC,Archrock Inc. Common Stock,$24.93,-0.21,-0.835%,4371965175.00,United States,,1836865,Utilities,Natural Gas Distribution
ARR,ARMOUR Residential REIT Inc.,$17.58,0.14,0.803%,1967170989.00,United States,,1878614,Real Estate,Real Estate Investment Trusts
ARR^C,ARMOUR Residential REIT Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share),$21.03,0.05,0.238%,,United States,,23805,,
ARW,Arrow Electronics Inc. Common Stock,$112.48,1.17,1.051%,5793997323.00,United States,,455849,Technology,Electronic Components
ARX,Accelerant Holdings Class A Common Shares,$15.24,0.19,1.262%,3380537471.00,,2025,829360,Finance,Specialty Insurers
AS,Amer Sports Inc. Ordinary Shares,$35.81,-0.17,-0.472%,19833201303.00,,2024,3276653,Consumer Discretionary,Apparel
ASA,ASA  Gold and Precious Metals Limited,$52.98,0.09,0.17%,995385909.00,United States,,71527,Industrials,Precious Metals
